JOSUÉ  BENGTSON  ,(PTB-PA.),"Pelo  crescimento  do  nosso País,  pela  diminuição  da  inflação,  pela  economia,  que  está  melhorando,  eu  voto "sim".",YES 
JÚLIA MARINHO ,(PSC-PA.),"Eu voto “sim”.",YES
LÚCIO VALE ,(PR-PA.),"Eu voto “sim”, Sr. Presidente.",YES
NILSON  PINTO  ,(PSDB-PA.),"Sr.  Presidente,  eu  concordo integralmente com o relatório aprovado pela Comissão de Constituição e Justiça e de  Cidadania,  brilhantemente  elaborado  pelo  ilustre  Deputado  Paulo  Abi-Ackel,  do PSDB de Minas Gerais, a quem eu... Eu voto “sim”.",YES
SIMONE MORGADO ,(PMDB-PA.),"Eu voto “sim”.",YES
WLADIMIR  COSTA  ,(SD-PA.),"O  Deputado  Wladimir  Costa,  do Solidariedade  do  Pará,  quer  dizer  o  seguinte:  abaixo  o  IBOPE,  que  é  ridículo  e mentiroso; abaixo a pesquisa do Datafolha, que mente... O  Presidente  é  um  homem  decente, preparado,  honesto,  transparente.  E  nós  da  base  do  Governo  vamos  botar  a Oposição para chorar hoje aqui, com a vitória de Michel Temer. Voto “sim”!",YES
ZÉ GERALDO  ,(PT-PA.),"Sr. Presidente, esse Presidente aumentou, de  uma  vez  só,  a  gasolina  em  40  centavos.  O  povo  brasileiro  não  aguenta  esse Governo, que está falindo o Brasil.  Voto “não”, pela...",NO
PAULO  MALUF  ,(PP-SP.),"Pelo  progresso  e  pelas  reformas, voto “sim”.",YES
ALEX  CANZIANI  ,(PTB-PR.),"Sr.  Presidente,  votar  “sim”  não significa  dizer que o Presidente é inocente. Mas votar “sim” significa votar com as reformas, com o desenvolvimento, com um País melhor para todos nós. Voto “sim”, pelo Brasil.",YES 
ALFREDO  KAEFER  ,(PSL-PR.),"Pela  democracia  e  pela estabilidade, “não” à aceitação da denúncia. Meu voto é “sim”, pelo relatório.",YES
ALIEL  MACHADO  ,(REDE-PR.),"Sr.  Presidente,  há  1  ano,  nós  da REDE já defendíamos nova eleição. Falávamos que a entrada de Michel Temer era um  equívoco.  Hoje,  estamos  colhendo  o  fruto  —  está  aí  para  aqueles  que enganaram o povo. Isso daqui é uma farsa. Estão enganando o povo brasileiro. Punição a todos os culpados! Eu voto “não” ao relatório sobre a investigação de Michel Temer.",NO
ASSIS DO COUTO ,(PDT-PR.),"“Sim” à investigação, Sr. Presidente; “não”  a  este  relatório,  porque,  dizendo  “não”  a  este  relatório,  estaremos  dizendo “não” à reforma da Previdência, principalmente. Obrigado.",NO
CHRISTIANE DE SOUZA  YARED  ,(PR-PR.),"Sr. Presidente, eu só quero esclarecer que estive com o Presidente Temer, durante 1 hora, e em nenhum momento ele tocou na palavra denúncia, em nenhum momento ele falou disso. Eu queria dizer que represento hoje o meu Estado e voto contra o relatório.",YES
DELEGADO  FRANCISCHINI  ,(SD-PR.),"Sr.  Presidente,  por  uma questão  de  coerência  com  a  representação  que  faço  aqui  na  Câmara  da  minha instituição Polícia Federal, eu voto “não”.",NO
DIEGO GARCIA ,(PHS-PR.),"Sr. Presidente, eu voto coerente com a minha posição na Casa de combate à corrupção. Portanto, voto “não” ao relatório.",NO
DILCEU SPERAFICO ,(PP-PR.),"Pelo bem do Brasil, pelo bem da agricultura e pelas reformas, voto “sim”.",YES
EDMAR  ARRUDA  ,(PSD-PR.),"Sr.  Presidente,  “sim”  à  retomada  do crescimento, “sim” à geração de emprego, “sim” à redução da taxa de juros, “sim” à economia  estável,  e  que  nós  possamos  dar  estabilidade  ao  setor  produtivo  deste País. Eu voto “sim” ao relatório.  ",YES
ENIO VERRI ,(PT-PR.),"Sr. Presidente, pela soberania nacional, contra as  reformas  que  empobrecem  os  trabalhadores  brasileiros,  em  respeito  ao  povo paranaense, voto “não”.",NO
EVANDRO ROMAN ,(PSD-PR.),"Sr. Presidente, convicto, pelo Brasil, que produz, pelo meu Paraná, que gera riquezas, eu voto “sim” ao relatório.",YES
GIACOBO ,(PR-PR.),"Eu voto “sim”.",YES
HERMES  PARCIANELLO  ,(PMDB-PR.),"Este  é  um  voto  político,  Sr. Presidente, não é um voto contra a justiça, nem contra a PGR. Eu voto “sim” ao relatório da CCJC.",YES
JOÃO ARRUDA ,(PMDB-PR.),"Voto “sim”, Sr. Presidente.",YES
LEANDRE  ,(PV-PR.),"Pela  reconstrução  do  nosso  País,  por  uma mudança  de  comportamento,  de  atitudes  e,  principalmente,  de  valores,  voto  pelo prosseguimento das investigações, portanto “não” ao relatório.",NO
LEOPOLDO  MEYER  ,(PSB-PR.),"O  meu  voto  é  “não”  ao relatório  e “sim” à investigação, Sr. Presidente.",NO
LUIZ CARLOS HAULY ,(PSDB-PR.),"Eu voto “sim” ao relatório, “sim” à recuperação  econômica  brasileira,  “sim”  às  reformas,  “sim”  à  reforma  econômica, “sim”  à  reforma  tributária,  “sim”  à  recuperação  dos 14  milhões  de  empregos.  Pelo Brasil, voto “sim”.",YES
LUIZ  NISHIMORI  ,(PR-PR.),"Sr.  Presidente,  pensando  no  bem  do nosso  País  e  da  nossa  economia  e  pensando  na  credibilidade  internacional,  meu voto é “sim”.",YES 
NELSON MEURER ,(PP-PR.),"Eu voto “sim”, Sr. Presidente.",YES
NELSON  PADOVANI  ,(PSDB-PR.),"Eu  voto  “sim”  ao  relatório,  Sr. Presidente.",YES
OSMAR BERTOLDI ,(DEM-PR.),"Conforme orientação do meu partido e com responsabilidade, voto “sim” ao relatório.",YES
RUBENS  BUENO  ,(PPS-PR.),"Sr.  Presidente,  “sim”  à  reforma  da Previdência,  “sim”  à  reforma  trabalhista,  “sim”  à  reforma  política,  “sim”  à  reforma daquilo  que  nós  mais  queremos  que  é  a  tributária.  Aqui  o  voto  é  “sim”,  pelo Procurador-Geral da República, e “não” ao relatório.",NO
SANDRO  ALEX  ,(PSD-PR.),"Sr.  Presidente,  cumprindo  a  minha função  constitucional  de  fiscalizar,  eu  voto  mais  uma  vez,  representando  a  capital cívica do Paraná, “sim”, pela investigação, “não” ao relatório.",NO
SERGIO SOUZA ,(PMDB-PR.),"Sr. Presidente, o Brasil dá sinais claros de retomada do crescimento: geração de emprego, PIB positivo, balança comercial positiva. Isso é uma estabilidade de Governo. Por isso, “sim” ao relatório da CCJC.",YES
TAKAYAMA  ,(PSC-PR.),"Sr.  Presidente,  como  Presidente  da  Frente Parlamentar  Evangélica,  eu  quero  dizer  “sim”  ao  relatório  do  Deputado  Paulo  Abi-Ackel,  em  favor  de  um  Brasil  melhor,  em  favor  da  retomada  do  crescimento,  em favor  do  que  está  melhorando.  “Sim”  ao  relatório  e  “não”  a  esses  corruptos  que quase acabaram com o Brasil.",YES
TONINHO WANDSCHEER ,(PROS-PR.),"A fim de continuarmos as reformas tão importantes para o nosso País, votamos “sim” ao relatório.",YES
ZECA DIRCEU ,(PT-PR.),"Quem se ausenta é covarde. A solução para os problemas do Brasil passa, sim, pelo reestabelecimento da democracia. Autorizar o STF a julgar Temer é o primeiro passo para que isso ocorra. Queremos o “Fora, Temer”, queremos diretas já. Pela  juventude,  por  aqueles  que  lutam  e  lutaram  contra  a  reforma  da Previdência e a reforma trabalhista, o meu voto é “não”. Justiça!",NO
